gbifID	scientificName	decimalLatitude	decimalLongitude	day	month	year	countryCode	stateProvince	DataSetID/Name	Elevation	kingdom	phylum	class	order	family	MaxTemp1	MinTemp1	Temp1	Humi1	Prec1	Rain1	SolarRad1	WindSpeed1	MaxTemp0	MinTemp0	Temp0	Humi0	Prec0	Rain0	SolarRad0	WindSpeed0
3962335539	Caecilia tentaculata	-0.96663	-76.9355	17	12	2021	EC	Orellana	Bioweb	369	Animal	Chordata	Amphibia	Gymnophiona	Caeciliidae	29.0	14.4	23.9	94.5	9.0	1	13.0	241.7	29.0	13.9	24.2	93.5	51.0	1	13.0	241.7
3962335490	Leptodactylus labrosus	-2.17115	-79.92616	24	3	2022	EC	Guayas	Bioweb	117	Animal	Chordata	Amphibia	Anura	Leptodactylidae	30.0	24.2	27.2	84.6	12.3	1	14.8	153.0	30.0	26.0	27.4	82.0	0.0	0	14.8	153.0
3962335489	Leptodactylus labrosus	-2.17096	-79.92568	24	3	2022	EC	Guayas	Bioweb	82	Animal	Chordata	Amphibia	Anura	Leptodactylidae	30.0	24.2	27.2	84.6	12.3	1	14.8	153.0	30.0	26.0	27.4	82.0	0.0	0	14.8	153.0
3962335488	Engystomops pustulatus	-2.17245	-79.927	24	3	2022	EC	Guayas	Bioweb	218	Animal	Chordata	Amphibia	Anura	Leptodactylidae	30.0	24.2	27.2	84.6	12.3	1	14.8	153.0	30.0	26.0	27.4	82.0	0.0	0	14.8	153.0
3962335487	Leptodactylus labrosus	-2.17176	-79.92757	24	3	2022	EC	Guayas	Bioweb	210	Animal	Chordata	Amphibia	Anura	Leptodactylidae	30.0	24.2	27.2	84.6	12.3	1	14.8	153.0	30.0	26.0	27.4	82.0	0.0	0	14.8	153.0
3962335486	Engystomops pustulatus	-2.17259	-79.92729	24	3	2022	EC	Guayas	Bioweb	219	Animal	Chordata	Amphibia	Anura	Leptodactylidae	30.0	24.2	27.2	84.6	12.3	1	14.8	153.0	30.0	26.0	27.4	82.0	0.0	0	14.8	153.0
3962335485	Engystomops pustulatus	-2.17259	-79.92729	24	3	2022	EC	Guayas	Bioweb	219	Animal	Chordata	Amphibia	Anura	Leptodactylidae	30.0	24.2	27.2	84.6	12.3	1	14.8	153.0	30.0	26.0	27.4	82.0	0.0	0	14.8	153.0
3962335484	Leptodactylus labrosus	-2.17099	-79.92551	25	3	2022	EC	Guayas	Bioweb	39	Animal	Chordata	Amphibia	Anura	Leptodactylidae	31.0	24.0	26.9	84.9	2.5	1	11.2	176.3	30.0	24.2	27.2	84.6	12.3	1	11.2	176.3
3962335483	Engystomops pustulatus	-2.17242	-79.9272	24	3	2022	EC	Guayas	Bioweb	209	Animal	Chordata	Amphibia	Anura	Leptodactylidae	30.0	24.2	27.2	84.6	12.3	1	14.8	153.0	30.0	26.0	27.4	82.0	0.0	0	14.8	153.0
3962335481	Scinax tsachila	-2.0801	-79.90968	4	4	2022	EC	Guayas	Bioweb	63	Animal	Chordata	Amphibia	Anura	Hylidae	30.8	24.0	27.5	76.9	0.0	0	22.3	275.7	31.0	24.0	27.6	75.6	0.0	0	22.3	275.7
