gbifID	scientificName	decimalLatitude	decimalLongitude	day	month	year	countryCode	stateProvince	DataSetID/Name	Elevation	kingdom	phylum	class	order	family
3962335605	Leptodactylus labrosus	-2.10701	-79.92133	11	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335601	Leptodactylus labrosus	-2.22412	-79.87386	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335599	Engystomops guayaco	-2.10297	-79.91339	11	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335598	Leptodactylus labrosus	-2.1055	-79.91501	9	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335597	Leptodactylus labrosus	-2.11012	-79.9173	9	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335596	Leptodactylus labrosus	-2.10482	-79.91777	10	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335595	Leptodactylus labrosus	-2.10462	-79.91751	10	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335594	Leptodactylus labrosus	-2.10526	-79.91362	10	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335593	Leptodactylus labrosus	-2.10698	-79.92249	10	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335591	Leptodactylus labrosus	-2.10499	-79.91859	11	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335589	Leptodactylus labrosus	-2.10526	-79.91362	10	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335569	Engystomops guayaco	-2.10698	-79.92249	10	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335567	Engystomops guayaco	-2.10666	-79.91623	9	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335566	Trachycephalus jordani	-2.1989	-79.85814	26	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335565	Trachycephalus jordani	-2.19755	-79.85725	26	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335564	Trachycephalus quadrangulum	-2.21755	-79.87748	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335563	Trachycephalus quadrangulum	-2.21755	-79.87748	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335562	Trachycephalus quadrangulum	-2.22592	-79.8675	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335561	Trachycephalus quadrangulum	-2.21868	-79.87656	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335559	Trachycephalus quadrangulum	-2.19943	-79.86131	26	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335558	Trachycephalus quadrangulum	-2.21952	-79.87469	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335555	Trachycephalus quadrangulum	-2.19997	-79.85572	26	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Hylidae
3962335546	Leptodactylus labrosus	-2.24677	-79.84523	25	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335543	Leptodactylus labrosus	-2.21663	-79.86272	25	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335540	Leptodactylus labrosus	-2.24677	-79.84523	25	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335536	Leptodactylus labrosus	-2.21768	-79.86788	25	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335535	Rhinella horribilis	-2.22406	-79.87377	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Bufonidae
3962335534	Rana	-2.00357	-79.96446	18	4	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Ranidae
3962335533	Rhinella horribilis	-2.22406	-79.87377	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Bufonidae
3962335532	Rhinella horribilis	-2.22406	-79.87377	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Bufonidae
3962335531	Leptodactylus labrosus	-2.24709	-79.84507	25	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Leptodactylidae
3962335528	Rhinella horribilis	-2.22412	-79.87386	24	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Bufonidae
3962335518	Rana	-2.00357	-79.96446	18	4	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Ranidae
3962335515	Rana catesbeiana	-2.21146	-79.84894	26	5	2022	EC	Guayas	Bioweb	No Info	Animal	Chordata	Amphibia	Anura	Ranidae
